Parent Account Number,Parent Account Name,Account Number,Account Name,Customer Own Reference,Card Group,Card Number,Card Type Description,Card Purchase Category,Vehicle Type,Card Driver Name,Card  VRN,Card Additional Data,Invoice Date,Invoice number,Invoice Reference ID,Voucher number,Authorisation Code,Transaction Date,Posted Date,Transaction VRN,Odometer,Transaction Type,Product Description,Quantity,Unit Price (for fuel this would be PPL),Net Value,VAT Value,VAT Rate %,VAT Type,Gross Value,Network,Site Number,Site Name,Site Address,Site City,Site Region,Site Post Code,Site Phone Number,Country,Site Type,Purchase Description,Tank Size,Group code
AS60158081,Demo,AS60158081,TDS Demo,,9108,Sally Bullent,APP1 EMV,ALL FUELS & OIL,,,IN40DM,,23/06/2023 19:23,E2016690094,29139837,819294,457367,17/06/2023 07:26,17/06/2023 07:26,IN40DM,2,Fuel,Diesel,73.57,1.65706,101.59,20.32,20,UK Standard Rate,121.91,TESCO,75194011,TESCO DINGWALL MART ROAD,DINGWALL AUCTION ,DINGWALL,HIGHLAND,IV15 9PP,,United Kingdom,SUPMKT,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3378,Alex Scanlan,APP1 EMV,ALL FUELS & OIL,VAN/LCV,,IN02DM,,06/06/2023 07:29,E2016690094,29139837,0,,15/06/2023 15:35,15/06/2023 15:35,IN02DM,43797,Fuel,Diesel,61.88,1.4756,76.09,15.22,20,UK Standard Rate,91.31,ALLSTAR PREMIER,990009266,PREMIER COT HOUSE SERVICES,COT HOUSE ,DUNOON,ARGYLL,PA23 8QT,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3378,Alex Scanlan,APP1 EMV,ALL FUELS & OIL,VAN/LCV,,IN02DM,,17/06/2023 06:52,E2016690094,29139837,0,,17/06/2023 07:40,17/06/2023 07:40,IN02DM,1,Fuel,Unleaded,5.09,1.42633,6.05,1.21,20,UK Standard Rate,7.26,ALLSTAR PREMIER,990009266,PREMIER COT HOUSE SERVICES,COT HOUSE ,DUNOON,ARGYLL,PA23 8QT,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3378,Alex Scanlan,APP1 EMV,ALL FUELS & OIL,VAN/LCV,,IN02DM,,20/06/2023 16:24,E2016690094,29139837,0,,15/06/2023 15:33,15/06/2023 15:33,IN02DM,1,Fuel,Unleaded,5.01,1.41717,5.92,1.18,20,UK Standard Rate,7.1,ALLSTAR PREMIER,990009266,PREMIER COT HOUSE SERVICES,COT HOUSE ,DUNOON,ARGYLL,PA23 8QT,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,12/06/2023 13:06,E2016690094,29139837,1523,692469,19/06/2023 13:36,19/06/2023 13:36,IN79DM,65751,Fuel,Diesel,36.48,1.70724,51.9,10.38,20,UK Standard Rate,62.28,BP,50508843,RONTEC THATCHAM S/STN,A4 BATH ROAD WOOLHAMPTON ,THATCHAM,BERKSHIRE,RG7 5RT,0118 9714527,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3566,Tristan Heyman,APP1 EMV,ALL FUELS & OIL,,,IN73DM,,15/06/2023 13:00,E2016690094,29139837,786149,299791,16/06/2023 07:18,16/06/2023 07:18,IN73DM,100,Fuel,Diesel,56.25,1.73689,81.42,16.28,20,UK Standard Rate,97.7,SHELL,56001407,SHELL ROPLEY,WINCHESTER ROAD ROPLEY,ALRESFORD,HAMPSHIRE,SO24 0BG,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Naomi Ansel,APP1 EMV,DIESEL & OIL,,,IN91DM,,11/06/2023 09:55,E2016690094,29139837,739039,535756,17/06/2023 14:15,17/06/2023 14:15,IN91DM,10320,Fuel,Diesel,38.95,1.64698,53.46,10.69,20,UK Standard Rate,64.15,JET,10541001,BLAIRGOWRIE S/STN,34-36 PERTH STREET,BLAIRGOWRIE,PERTHSHIRE,PH10 6DQ,,United Kingdom,FUEL,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,9108,Sally Bullent,APP1 EMV,ALL FUELS & OIL,,,IN40DM,,12/06/2023 07:42,E2016690094,29139837,810016,745083,20/06/2023 07:20,20/06/2023 07:20,IN40DM,2,Fuel,Diesel,103,1.65709,142.23,28.45,20,UK Standard Rate,170.68,TESCO,75194011,TESCO DINGWALL MART ROAD,DINGWALL AUCTION ,DINGWALL,HIGHLAND,IV15 9PP,,United Kingdom,SUPMKT,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3691,Harry Ross,APP1 EMV,ALL FUELS & OIL,,,IN79DM,,12/06/2023 15:25,E2016690094,29139837,13820,980237,21/06/2023 14:40,21/06/2023 14:40,IN79DM,65928,Fuel,Diesel,30.8,1.93701,49.72,9.94,20,UK Standard Rate,59.66,MOTO,5313001,CHIEVELEY MWSA,OXFORD ROAD HERMITAGE,THATCHAM,BERKSHIRE,RG18 9XX,01635 247583,United Kingdom,MWAY,,30,brighton-one
AS60158081,Demo,AS60158081,TDS Demo,,3566,Tristan Heyman,APP1 EMV,ALL FUELS & OIL,,,IN73DM,,24/06/2023 08:28,E2016690094,29139837,18979,917111,21/06/2023 08:48,21/06/2023 08:48,IN73DM,100,Fuel,Diesel,57.1,1.71716,81.71,16.34,20,UK Standard Rate,98.05,BP,9970124,HEN & CHICKEN S/STN,A31,ALTON,HAMPSHIRE,GU34 4JH,01420 022267,United Kingdom,FUEL,,30,brighton-one
